ASV_ID	Kingdom	Phylum	Class	Order	Family	Genus	A3.1.day157_1	A3.1.day98_1	A3.2.day157_1	A3.2.day98_1	E3.1.day157	E3.1.day98	E3.2.day157	E3.2.day98
sq1	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Halodesulfovibrio	248	132	372	341	23076	60271	12345	38268
sq2	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	NA	0	0	0	0	0	0	0	0
sq3	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfotignum	20089	12737	5865	1477	0	0	0	0
sq4	Bacteria	Bacillota	Bacilli	Izemoplasmatales	Izemoplasmataceae	Xianfuyuplasma	0	1	7	2	23740	30930	1737	21539
sq5	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Oleiphilaceae	Marinobacter	29569	11408	13501	5966	0	0	0	0
sq6	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	NA	1	0	0	0	0	0	0	0
sq7	Bacteria	Bacillota	Bacilli	Izemoplasmatales	Izemoplasmataceae	Xianfuyuplasma	0	0	0	0	124	918	224	711
sq8	Bacteria	Atribacterota	JS1	SB-45	34-128	34-128	1207	1184	739	838	38	386	0	269
sq9	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	NA	0	0	0	4	0	0	0	0
sq10	Bacteria	NA	NA	NA	NA	NA	1740	1411	941	1314	56	677	12	607
sq11	Bacteria	Atribacterota	JS1	SB-45	34-128	34-128	923	932	510	830	23	199	3	121
sq12	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	6	0	0	0	0	7	0	0
sq13	Bacteria	Bacillota	Bacilli	Izemoplasmatales	Izemoplasmataceae	Xianfuyuplasma	1169	490	1097	441	189	799	530	503
sq14	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Shewanellaceae	Shewanella	335	175	210	95	0	0	0	0
sq15	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Pseudodesulfovibrio	7487	4440	234	184	0	0	0	0
sq16	Bacteria	Desulfobacterota_F	Desulfuromonadia	Desulfuromonadales	Geopsychrobacteraceae	Seleniibacterium	0	12	4	0	0	0	0	0
sq17	Bacteria	Bacillota_A	Clostridia	NA	NA	NA	10	4	10	4	0	0	0	0
sq18	Bacteria	NA	NA	NA	NA	NA	15	8	7	5	0	17	0	2
sq19	Bacteria	Atribacterota	JS1	SB-45	34-128	34-128	449	459	239	382	12	185	6	105
sq20	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantaceae	NA	513	398	273	310	25	299	1	183
sq21	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacter	0	0	0	0	0	4	0	0
sq22	Bacteria	UBA6262	UBA6262	WVXT01	WVXT01	WVXT01	680	350	400	213	36	234	14	80
sq23	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	UBA4823	Kmv39	199	260	119	153	27	204	2	99
sq24	Bacteria	Chloroflexota	Anaerolineae	UBA7937	B3-Chlor	B3-Chlor	350	211	217	174	23	118	7	81
sq25	Bacteria	NA	NA	NA	NA	NA	0	0	0	0	0	1	0	0
sq26	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantaceae	NA	459	408	193	260	24	131	2	152
sq27	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	NA	438	209	226	92	9	60	0	50
sq28	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	NA	8	1	8	7	0	1	0	5
sq29	Bacteria	UBA6262	UBA6262	WVXT01	WVXT01	WVXT01	327	116	194	110	17	130	7	44
sq30	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantaceae	NA	238	216	126	160	13	99	2	80
sq31	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Thermoguttaceae	NA	95	80	48	37	6	49	1	24
sq32	Bacteria	NA	NA	NA	NA	NA	99	112	65	60	8	84	0	29
sq33	Bacteria	Bacillota	Bacilli	Izemoplasmatales	Izemoplasmataceae	Xianfuyuplasma	0	0	0	0	449	1860	228	450
sq34	Bacteria	Chloroflexota	Dehalococcoidia	NA	NA	NA	340	168	247	146	29	127	7	9
sq35	Bacteria	Atribacterota	JS1	SB-45	34-128	34-128	234	178	113	137	8	142	0	60
sq36	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	SG8-4	NA	128	43	91	85	8	59	2	21
sq37	Bacteria	Desulfobacterota_F	Desulfuromonadia	Desulfuromonadales	Syntrophotaleaceae	NA	0	0	1	0	0	0	0	0
sq38	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	1	0	3	0	0	0	0	0
sq39	Bacteria	Chloroflexota	Dehalococcoidia	GIF9	AB-539-J10	E44-bin10	209	38	16	10	3	9	2	3
sq40	Bacteria	Desulfobacterota_F	Desulfuromonadia	Desulfuromonadales	NA	NA	0	0	0	0	0	0	0	0
sq41	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	0	0	0	0	0	0	0	0
sq42	Bacteria	Chloroflexota	Anaerolineae	E26-bin7	E26-bin7	E26-bin7	413	113	147	22	37	108	3	35
sq43	Bacteria	Desulfobacterota	NA	NA	NA	NA	368	159	141	87	8	96	9	40
sq44	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantaceae	SOIV01	204	98	85	90	8	86	4	61
sq45	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	1156	501	503	357	4	66	2	31
sq46	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantaceae	NA	208	157	126	131	8	95	4	64
sq47	Bacteria	NA	NA	NA	NA	NA	121	110	72	79	6	99	0	59
sq48	Bacteria	RBG-13-66-14	B26-G2	WVWN01	WVWN01	WVWN01	220	233	135	108	15	106	3	91
sq49	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantaceae	NA	293	189	155	156	13	74	1	46
sq50	Bacteria	Bacillota	Bacilli	Izemoplasmatales	Izemoplasmataceae	Xianfuyuplasma	0	0	0	1	0	0	0	0
sq51	Bacteria	Chloroflexota	Anaerolineae	E26-bin7	E26-bin7	E26-bin7	194	79	110	18	12	29	6	14
sq52	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfotignum	71	93	18	17	0	0	0	0
sq53	Bacteria	Bipolaricaulota	Bipolaricaulia	UBA7950	UBA9294	NA	314	78	60	26	23	314	8	56
sq54	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	SG8-4	NA	171	119	64	83	2	83	0	24
sq55	Bacteria	Bacillota	Bacilli	Bacillales	DSM-18226	NA	96	23	47	19	3	22	4	0
sq56	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfotignum	25	149	6	8	0	0	0	0
sq57	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Halopseudomonas	0	0	0	0	0	0	0	0
sq58	Bacteria	Chloroflexota	Dehalococcoidia	SZUA-161	SZUA-161	SZUA-161	194	56	87	25	7	43	0	15
sq59	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	0	0	0	0	0	0	0	0
sq60	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	NA	NA	600	284	1082	381	0	3	1	25
sq61	Bacteria	NA	NA	NA	NA	NA	113	77	50	84	2	40	1	41
sq62	Bacteria	NA	NA	NA	NA	NA	0	0	0	0	0	3	0	0
sq63	Bacteria	Bacillota	Bacilli	MAG-NZ	MAG-NZ	NA	7	5	17	13	0	0	0	2
sq64	Bacteria	Actinomycetota	Thermoleophilia	Miltoncostaeales	Miltoncostaeaceae	NA	146	71	93	34	0	19	2	38
sq65	Bacteria	Actinomycetota	Thermoleophilia	Miltoncostaeales	Miltoncostaeaceae	NA	209	72	110	38	11	34	2	12
sq66	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Halodesulfovibrio	1	4	0	0	34	961	13	505
sq67	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfotignum	36	72	7	2	0	0	0	0
sq68	Bacteria	Chloroflexota	Anaerolineae	UBA7937	B3-Chlor	B3-Chlor	161	58	53	81	8	41	2	14
sq69	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Halodesulfovibrio	0	1	0	2	23	1075	20	425
sq70	Bacteria	NA	NA	NA	NA	NA	198	219	105	145	5	90	1	38
sq71	Bacteria	UBA6262	UBA6262	WVXT01	WVXT01	WVXT01	199	71	101	36	11	69	4	61
sq72	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	SG8-4	NA	75	51	58	68	8	41	0	18
sq73	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Aestuariivirgaceae	Anderseniella	150	48	62	54	2	9	0	13
sq74	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	SG8-4	NA	115	116	67	55	2	80	0	26
sq75	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	SG8-4	NA	0	1	0	0	2	25	5	9
sq76	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfotignum	29	73	2	5	0	0	0	0
sq77	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	SG8-4	NA	113	50	73	44	1	24	2	33
sq78	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Rubripirellula	97	71	61	58	2	33	0	33
sq79	Bacteria	Bacillota	Bacilli	Izemoplasmatales	Izemoplasmataceae	Xianfuyuplasma	2	0	5	2	0	0	0	0
sq80	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	SG8-4	NA	157	108	65	66	2	38	0	38
sq81	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Halodesulfovibrio	3	0	0	5	70	756	38	406
sq82	Bacteria	Desulfobacterota_F	Desulfuromonadia	Desulfuromonadales	NA	NA	89	44	66	12	3	0	0	6
sq83	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfotignum	8	63	0	8	0	0	0	0
sq84	Bacteria	Chloroflexota	Dehalococcoidia	NA	NA	NA	127	41	51	25	1	24	1	10
sq85	Bacteria	Bacillota	Bacilli	Izemoplasmatales	Izemoplasmataceae	Xianfuyuplasma	0	0	9	5	99	418	19	155
sq86	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	NA	0	0	0	0	0	0	0	0
sq87	Bacteria	Krumholzibacteriota	Krumholzibacteria	LZORAL124-64-63	LZORAL124-64-63	NA	0	0	0	0	0	0	0	0
sq88	Bacteria	Atribacterota	JS1	SB-45	34-128	34-128	54	52	37	57	0	18	0	10
sq89	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	NA	0	0	0	0	0	0	0	0
sq90	Bacteria	Desulfobacterota	NA	NA	NA	NA	49	51	37	23	0	0	0	5
sq91	Bacteria	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0
sq92	Bacteria	Bacillota	Bacilli	Izemoplasmatales	Izemoplasmataceae	Xianfuyuplasma	31	15	14	7	0	0	0	0
sq93	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantaceae	SOIV01	152	163	60	83	2	72	1	25
sq94	Bacteria	Bacillota	Bacilli	Bacillales	NA	NA	80	24	40	26	2	16	2	9
sq95	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	NA	0	0	0	0	0	0	0	0
sq96	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	NA	NA	89	39	42	7	4	37	2	2
sq97	Bacteria	Myxococcota_A	UBA9160	UBA9160	SMWR01	SMWR01	62	21	31	17	0	7	0	8
sq98	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantaceae	NA	119	103	38	69	6	38	1	31
sq99	Bacteria	Chloroflexota	Dehalococcoidia	SZUA-161	SZUA-161	SZUA-161	139	54	64	24	5	61	8	19
sq100	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Halodesulfovibrio	0	0	0	0	16	557	13	231
sq101	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	SG8-4	NA	119	170	49	45	1	42	1	30
sq102	Bacteria	Chloroflexota	Dehalococcoidia	NA	NA	NA	40	19	31	7	0	15	1	0
sq103	Bacteria	NA	NA	NA	NA	NA	104	89	43	26	3	55	10	12
sq104	Bacteria	NA	NA	NA	NA	NA	57	65	48	25	5	67	0	14
sq105	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantaceae	SOIV01	90	98	28	104	0	50	0	27
sq106	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantaceae	NA	64	20	17	38	7	100	1	15
sq107	Bacteria	Chloroflexota	Dehalococcoidia	NA	NA	NA	106	66	48	44	4	11	5	7
sq108	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Halodesulfovibrio	0	1	0	3	33	513	13	234
sq109	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacter	9	0	0	0	0	0	0	0
sq110	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfotignum	11	52	0	5	0	0	0	0
sq111	Bacteria	Chloroflexota	Anaerolineae	UBA7937	B3-Chlor	B3-Chlor	64	46	34	11	4	29	0	17
sq112	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantaceae	SOIV01	48	43	42	22	1	38	1	19
sq113	Bacteria	Bipolaricaulota	Bipolaricaulia	UBA7950	UBA9294	NA	110	21	16	16	10	145	4	19
sq114	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	NA	0	0	0	0	0	0	0	0
sq115	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	NA	0	0	0	0	0	0	0	0
sq116	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Halodesulfovibrio	0	0	0	0	17	533	5	189
sq117	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfotignum	48	116	5	3	0	0	0	0
sq118	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Halodesulfovibrio	0	0	0	8	47	497	27	221
sq119	Bacteria	NA	NA	NA	NA	NA	31	37	17	69	8	17	1	10
sq120	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfotignum	56	117	7	8	0	0	0	0
sq121	Bacteria	WOR-3	WOR-3	UBA2258	UBA2258	G020352555	139	165	51	46	2	44	0	13
sq122	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfotignum	13	63	1	6	0	0	0	0
sq123	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfosarcina	63	21	38	21	2	19	0	11
sq124	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	JAHEIW01	JAHEIW01	42	33	18	12	1	10	0	11
sq125	Bacteria	Bacillota	Bacilli	Izemoplasmatales	Izemoplasmataceae	Xianfuyuplasma	0	2	0	0	0	0	0	0
sq126	Bacteria	Pseudomonadota	Alphaproteobacteria	NA	NA	NA	85	23	14	5	4	25	0	1
sq127	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfotignum	12	53	5	4	0	0	0	0
sq128	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfotignum	20	69	3	1	0	0	0	0
sq129	Bacteria	Chloroflexota	Anaerolineae	UBA7937	B3-Chlor	B3-Chlor	107	29	73	74	3	14	1	2
sq130	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	NA	49	17	20	11	0	20	0	4
sq131	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Rubritalea	0	0	0	0	0	0	0	0
sq132	Bacteria	Bacillota	Bacilli	Izemoplasmatales	Izemoplasmataceae	Xianfuyuplasma	0	0	0	0	19	587	0	253
sq133	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantaceae	NA	73	92	36	47	0	57	3	35
sq134	Bacteria	NA	NA	NA	NA	NA	36	22	20	25	2	10	0	2
sq135	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Halodesulfovibrio	1	0	0	0	24	469	7	219
sq136	Bacteria	UBA6262	UBA6262	WVXT01	WVXT01	WVXT01	84	41	57	54	6	44	3	22
sq137	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Sulfomarinibacteraceae	NA	91	31	46	27	3	30	0	15
sq138	Bacteria	Bipolaricaulota	Bipolaricaulia	UBA7950	UBA9294	NA	54	17	15	5	0	16	0	13
sq139	Bacteria	RBG-13-66-14	B26-G2	WVWN01	G020348885	G020348885	77	34	37	58	5	18	0	21
sq140	Bacteria	Chloroflexota	Dehalococcoidia	NA	NA	NA	114	68	53	47	2	27	3	6
sq141	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	SG8-4	NA	76	29	54	48	2	46	0	34
sq142	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Halodesulfovibrio	0	0	0	0	10	437	6	194
sq143	Bacteria	NA	NA	NA	NA	NA	41	39	27	51	3	32	2	5
sq144	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	NA	0	0	0	0	0	0	0	0
sq145	Bacteria	Chloroflexota	Dehalococcoidia	GIF9	AB-539-J10	E44-bin10	53	10	7	0	1	6	2	1
sq146	Bacteria	NA	NA	NA	NA	NA	92	53	56	100	2	86	3	66
sq147	Bacteria	NA	NA	NA	NA	NA	82	48	61	29	2	5	1	4
sq148	Bacteria	Gemmatimonadota	Gemmatimonadetes	KS3-K002	JABDQB01	JAENXO01	18	1	17	14	0	20	0	3
sq149	Bacteria	Chloroflexota	Dehalococcoidia	Dehalococcoidales	NA	NA	59	31	29	22	0	0	0	1
sq150	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfotignum	11	70	4	3	0	0	0	0
sq151	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	0	3	2	2	1	31	0	3
sq152	Bacteria	Chloroflexota	Anaerolineae	NA	NA	NA	35	89	36	95	1	18	2	45
sq153	Bacteria	Chloroflexota	Anaerolineae	VGOG01	VGOG01	VGOG01	20	7	14	25	0	0	2	0
sq154	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantaceae	NA	46	41	27	18	1	48	0	20
sq155	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	NA	0	2	1	0	0	0	0	0
sq156	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Shewanellaceae	NA	0	0	0	0	0	0	0	0
sq157	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	NA	NA	60	63	50	38	3	21	0	1
sq158	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	SG8-4	NIOZ-UU13	42	5	31	19	1	1	1	0
sq159	Bacteria	Chloroflexota	Dehalococcoidia	E44-bin15	E44-bin15	JAAXQM01	63	41	24	42	4	37	1	7
sq160	Bacteria	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium_AD	42	6	25	17	2	2	0	13
sq161	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	NA	NA	0	0	0	0	0	0	0	0
sq162	Bacteria	NA	NA	NA	NA	NA	35	21	11	61	4	33	0	35
sq163	Bacteria	Desulfobacterota	DSM-4660	Desulfatiglandales	Desulfatiglandaceae	NA	0	0	0	0	0	0	0	0
sq164	Bacteria	Bacillota_A	Clostridia	Tissierellales	Dethiosulfatibacteraceae	Dethiosulfatibacter	0	0	0	0	0	0	0	0
sq165	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	50	17	18	15	0	6	0	0
sq166	Bacteria	Atribacterota	JS1	SB-45	34-128	34-128	37	13	14	8	0	0	0	0
sq167	Bacteria	Chloroflexota	Dehalococcoidia	NA	NA	NA	50	31	43	13	2	17	2	2
sq168	Bacteria	Chloroflexota	Anaerolineae	B4-G1	B4-G1	DSDT01	124	15	37	11	1	6	0	0
sq169	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	NA	62	16	26	11	4	2	0	0
sq170	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	70-9	NA	31	15	23	21	1	5	0	2
sq171	Bacteria	Chloroflexota	Anaerolineae	NA	NA	NA	23	27	15	39	5	19	3	1
sq172	Bacteria	Chloroflexota	Dehalococcoidia	NA	NA	NA	86	49	42	19	7	26	2	0
sq173	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	NA	0	0	0	0	0	0	0	0
sq174	Bacteria	Chloroflexota	NA	NA	NA	NA	55	27	30	20	6	6	0	1
sq175	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	0	0	0	0	0	0	0	0
sq176	Bacteria	Atribacterota	JS1	SB-45	34-128	34-128	47	24	18	8	0	12	0	19
sq177	Bacteria	Chloroflexota	Dehalococcoidia	NA	NA	NA	104	50	67	18	2	21	0	4
sq178	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	251	102	128	99	0	12	0	2
sq179	Bacteria	NA	NA	NA	NA	NA	59	36	35	22	1	16	0	9
sq180	Bacteria	NA	NA	NA	NA	NA	83	50	32	35	1	34	0	8
sq181	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	UBA4823	Kmv39	45	20	12	22	1	9	2	2
sq182	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	50	24	19	12	2	2	0	0
sq183	Bacteria	NA	NA	NA	NA	NA	42	23	23	37	1	11	2	4
sq184	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	UBA2230	5	0	0	0	0	0	0	6
sq185	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfotignum	3	50	2	3	0	0	0	0
sq186	Bacteria	Chloroflexota	Dehalococcoidia	GIF9	AB-539-J10	NA	36	6	3	1	0	8	1	2
sq187	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Muriicola	7	18	2	4	0	11	0	0
sq188	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	NA	NA	34	35	4	26	2	39	0	11
sq189	Bacteria	NA	NA	NA	NA	NA	40	15	44	7	0	2	0	6
sq190	Bacteria	Bacillota_A	Clostridia	NA	NA	NA	0	0	0	0	0	0	0	0
sq191	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	NA	0	0	1	0	0	0	0	0
sq192	Bacteria	Chloroflexota	Anaerolineae	VGOG01	VGOG01	VGOG01	40	20	25	19	0	11	0	3
sq193	Bacteria	Chloroflexota	Dehalococcoidia	SZUA-161	SZUA-161	SZUA-161	55	16	39	6	0	19	0	4
sq194	Bacteria	Chloroflexota	Anaerolineae	4572-78	NAK82	NA	41	21	9	27	3	6	0	0
sq195	Bacteria	Chloroflexota	Dehalococcoidia	Dehalococcoidales	NA	NA	71	20	28	7	1	13	0	12
sq196	Bacteria	RBG-13-66-14	B26-G2	WVWN01	WVWN01	WVWN01	78	57	27	24	4	4	1	0
sq197	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	JAHEIW01	JAHEIW01	55	26	34	13	2	16	0	4
sq198	Bacteria	Gemmatimonadota	Gemmatimonadetes	KS3-K002	JABDQB01	JAENXO01	28	6	21	4	0	6	0	0
sq199	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Rubripirellula	47	41	9	11	3	6	0	2
sq200	Bacteria	NA	NA	NA	NA	NA	24	9	16	20	1	1	0	20
sq201	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	NA	NA	27	8	6	8	0	3	0	14
sq202	Bacteria	Desulfobacterota	NA	NA	NA	NA	55	39	38	19	0	33	0	2
sq203	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	NA	NA	0	0	0	0	0	0	0	0
sq204	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	NA	44	29	21	3	1	24	0	1
sq205	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	35	17	23	7	0	13	0	0
sq206	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Pseudodesulfovibrio	0	0	0	0	9	9	0	1
sq207	Bacteria	Bacillota_B	TC1	TC1	UBA5767	UBA5767	0	0	0	0	0	0	0	0
sq208	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium_C	22	4	13	13	0	13	3	3
sq209	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	UBA1268	UBA1268	22	3	6	15	0	0	0	1
sq210	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	NA	NA	18	0	3	15	1	29	0	0
sq211	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Rubripirellula	32	23	18	10	0	26	0	3
sq212	Bacteria	Bipolaricaulota	Bipolaricaulia	UBA7950	UBA9294	NA	77	16	11	3	12	160	10	18
sq213	Bacteria	Spirochaetota	B62-G9	B62-G9	B62-G9	B62-G9	49	20	21	12	3	9	1	5
sq214	Bacteria	Chloroflexota	Anaerolineae	NA	NA	NA	19	29	12	52	1	17	1	17
sq215	Bacteria	NA	NA	NA	NA	NA	17	34	6	5	1	4	1	10
sq216	Bacteria	NA	NA	NA	NA	NA	29	27	25	2	1	6	0	3
sq217	Bacteria	Bacillota_A	Clostridia	NA	NA	NA	0	0	0	0	15	281	8	134
sq218	Bacteria	Desulfobacterota	Syntrophobacteria	BM002	BM002	NA	24	1	7	3	0	8	0	0
sq219	Bacteria	Bipolaricaulota	Bipolaricaulia	UBA7950	UBA9294	NA	82	13	9	5	4	44	0	10
sq220	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	44	10	12	2	1	3	2	2
sq221	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Ilumatobacter_A	0	0	0	0	0	0	0	0
sq222	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	NA	NA	0	0	0	0	0	0	0	0
sq223	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	NA	12	2	4	1	0	0	0	0
sq224	Bacteria	Spirochaetota	B62-G9	B62-G9	B62-G9	B62-G9	79	45	26	18	1	21	0	10
sq225	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	58	16	35	7	0	8	0	8
